event_uuid,event_name,date_from,date_to,time_start,time_end,label,uuid
0197aba3-38c1-73b6-a9be-efcda5da4ac9,JCI Aseana 2nd Induction and Turnover Ceremony,7/6/2025,7/6/2025,17:00:00,20:00:00,,
0197aba3-38e5-7305-9b90-8741045f9fcb,GRAND GMM,6/18/2025,6/18/2025,18:00:00,20:00:00,,
0197aba3-38f6-70b7-ab40-96d87a5ad65c,NEGO NATION,8/9/2025,8/9/2025,10:00:00,18:00:00,,
0197aba3-38f6-70b7-ab40-96d87a5ad65c,NEGO NATION,8/10/2025,8/10/2025,10:00:00,18:00:00,,
0197aba3-390c-73b8-9c3a-02861ef90b87,Feel the Baliwag Magic,9/5/2025,9/5/2025,8:00:00,18:00:00,,
0197aba3-3937-738a-acab-b22d1fad3d20,Midyear Academy: Pre-Game Night,6/25/2025,6/25/2025,18:00:00,22:00:00,,
0198094a-b4f7-701c-87f4-fb927cb99372,Test event,7/30/2025,8/2/2025,10:00:00,14:00:00,,
01981362-2a91-7203-b576-93ec37f54a88,Air Supply 50th Anniversary Celebration,9/18/2025,9/18/2025,20:00:00,23:00:00,Main Show,
01981362-2a91-7203-b576-93ec37f54a88,Air Supply 50th Anniversary Celebration,9/19/2025,9/19/2025,20:00:00,23:00:00,Main Show,
0198e708-3b94-7377-bd63-1a549bf62ea7,Shrek The Musical 1,12/6/2025,12/6/2025,20:00:00,23:00:00,,0198e708-3ba7-708c-87f0-a58e21f3906d
0198ea42-dcf9-7368-86e1-1e6ae49f3955,2nd WSAP Induction of Members and Officers,10/21/2025,10/21/2025,18:00:00,23:00:00,,0198ea42-dd48-70f3-b76a-fd6dc742f717
0198ea48-5efe-714c-bd7c-91b6ed7fb69a,Shrek The Musical 2,12/6/2025,12/6/2025,20:00:00,23:00:00,,0198ea48-5f0b-7239-91a6-529130a4299b
0199284b-d418-7029-8d6b-9de771e8d342,Shrek The Musical 3,12/6/2025,12/6/2025,20:00:00,23:00:00,,0199284b-d434-7108-88f7-4e6ea66bcefa
0199708f-30fc-730a-9c36-aba741d69596,SpeakersCon 2026: Redefining Authenticity 1,2/11/2026,2/11/2026,8:00:00,12:00:00,Whole Day,0199708f-3117-72cb-b2fb-6e6cf004905e
019971ff-3d13-7021-88e0-263585234d19,SpeakersCon 2026: Redefining Authenticity 2,2/11/2026,2/11/2026,8:00:00,12:00:00,,019971ff-3d2c-712e-bb20-50196852fbe9
01997248-78bb-7221-b7b0-3acd85239fc8,JCI Makati Membership Voucher 2026,9/23/2025,6/30/2026,8:00:00,12:00:00,,01997248-78d0-72b5-89ea-02e06d21abfa
019976ee-ea0e-735b-bcd5-5b60dbd8a63c,Event Open Ticket,12/12/2025,12/13/2025,20:00:00,23:00:00,,019976ee-ea26-739c-9d86-64202f7c29cc
0199772d-bbcc-728c-8b81-ffee7c4040a0,SpeakersCon 2026: Redefining Authenticity 3,2/11/2026,2/11/2026,8:00:00,11:00:00,,0199772d-bbdd-7093-b8f3-032ed31249f9
019a1041-3af9-70dd-a46c-6027f9f82cca,FREEDOM TALKS GLOBAL,11/22/2025,11/22/2025,11:00:00,12:00:00,,019a1041-3b27-739c-8437-08befed5e1fc
019a1061-dcc7-7190-9b17-16dc881fe2e6,2nd WSAP International Awards Night 1,1/28/2026,1/28/2026,18:00:00,22:00:00,,019a1061-dcf7-708b-9f0e-e991c37d9f51
019a1662-17fa-73f7-a3ea-a7e124f39466,2nd WSAP International Awards Night 2,1/28/2026,1/28/2026,18:00:00,22:00:00,,019a1662-1814-73e5-b4bf-1f4e444e2b89
